u,v,u_coordinate,v_coordinate
0,1,"('P', 0, 0)","('P', 0, 1)"
0,35,"('P', 0, 0)","('Q', 2, 0)"
0,4,"('P', 0, 0)","('P', 0, 4)"
0,40,"('P', 0, 0)","('Q', 3, 0)"
0,25,"('P', 0, 0)","('Q', 0, 0)"
0,45,"('P', 0, 0)","('Q', 4, 0)"
0,30,"('P', 0, 0)","('Q', 1, 0)"
1,2,"('P', 0, 1)","('P', 0, 2)"
1,36,"('P', 0, 1)","('Q', 2, 1)"
1,41,"('P', 0, 1)","('Q', 3, 1)"
1,26,"('P', 0, 1)","('Q', 0, 1)"
1,46,"('P', 0, 1)","('Q', 4, 1)"
1,31,"('P', 0, 1)","('Q', 1, 1)"
2,32,"('P', 0, 2)","('Q', 1, 2)"
2,3,"('P', 0, 2)","('P', 0, 3)"
2,37,"('P', 0, 2)","('Q', 2, 2)"
2,42,"('P', 0, 2)","('Q', 3, 2)"
2,27,"('P', 0, 2)","('Q', 0, 2)"
2,47,"('P', 0, 2)","('Q', 4, 2)"
3,48,"('P', 0, 3)","('Q', 4, 3)"
3,33,"('P', 0, 3)","('Q', 1, 3)"
3,4,"('P', 0, 3)","('P', 0, 4)"
3,38,"('P', 0, 3)","('Q', 2, 3)"
3,43,"('P', 0, 3)","('Q', 3, 3)"
3,28,"('P', 0, 3)","('Q', 0, 3)"
4,49,"('P', 0, 4)","('Q', 4, 4)"
4,34,"('P', 0, 4)","('Q', 1, 4)"
4,39,"('P', 0, 4)","('Q', 2, 4)"
4,44,"('P', 0, 4)","('Q', 3, 4)"
4,29,"('P', 0, 4)","('Q', 0, 4)"
5,49,"('P', 1, 0)","('Q', 4, 4)"
5,37,"('P', 1, 0)","('Q', 2, 2)"
5,6,"('P', 1, 0)","('P', 1, 1)"
5,9,"('P', 1, 0)","('P', 1, 4)"
5,43,"('P', 1, 0)","('Q', 3, 3)"
5,25,"('P', 1, 0)","('Q', 0, 0)"
5,31,"('P', 1, 0)","('Q', 1, 1)"
6,32,"('P', 1, 1)","('Q', 1, 2)"
6,38,"('P', 1, 1)","('Q', 2, 3)"
6,7,"('P', 1, 1)","('P', 1, 2)"
6,26,"('P', 1, 1)","('Q', 0, 1)"
6,44,"('P', 1, 1)","('Q', 3, 4)"
6,45,"('P', 1, 1)","('Q', 4, 0)"
7,33,"('P', 1, 2)","('Q', 1, 3)"
7,39,"('P', 1, 2)","('Q', 2, 4)"
7,8,"('P', 1, 2)","('P', 1, 3)"
7,40,"('P', 1, 2)","('Q', 3, 0)"
7,27,"('P', 1, 2)","('Q', 0, 2)"
7,46,"('P', 1, 2)","('Q', 4, 1)"
8,34,"('P', 1, 3)","('Q', 1, 4)"
8,35,"('P', 1, 3)","('Q', 2, 0)"
8,9,"('P', 1, 3)","('P', 1, 4)"
8,28,"('P', 1, 3)","('Q', 0, 3)"
8,47,"('P', 1, 3)","('Q', 4, 2)"
8,41,"('P', 1, 3)","('Q', 3, 1)"
9,48,"('P', 1, 4)","('Q', 4, 3)"
9,36,"('P', 1, 4)","('Q', 2, 1)"
9,42,"('P', 1, 4)","('Q', 3, 2)"
9,29,"('P', 1, 4)","('Q', 0, 4)"
9,30,"('P', 1, 4)","('Q', 1, 0)"
10,32,"('P', 2, 0)","('Q', 1, 2)"
10,48,"('P', 2, 0)","('Q', 4, 3)"
10,25,"('P', 2, 0)","('Q', 0, 0)"
10,39,"('P', 2, 0)","('Q', 2, 4)"
10,41,"('P', 2, 0)","('Q', 3, 1)"
10,11,"('P', 2, 0)","('P', 2, 1)"
10,14,"('P', 2, 0)","('P', 2, 4)"
11,33,"('P', 2, 1)","('Q', 1, 3)"
11,49,"('P', 2, 1)","('Q', 4, 4)"
11,35,"('P', 2, 1)","('Q', 2, 0)"
11,42,"('P', 2, 1)","('Q', 3, 2)"
11,26,"('P', 2, 1)","('Q', 0, 1)"
11,12,"('P', 2, 1)","('P', 2, 2)"
12,34,"('P', 2, 2)","('Q', 1, 4)"
12,45,"('P', 2, 2)","('Q', 4, 0)"
12,36,"('P', 2, 2)","('Q', 2, 1)"
12,27,"('P', 2, 2)","('Q', 0, 2)"
12,43,"('P', 2, 2)","('Q', 3, 3)"
12,13,"('P', 2, 2)","('P', 2, 3)"
13,30,"('P', 2, 3)","('Q', 1, 0)"
13,37,"('P', 2, 3)","('Q', 2, 2)"
13,14,"('P', 2, 3)","('P', 2, 4)"
13,46,"('P', 2, 3)","('Q', 4, 1)"
13,28,"('P', 2, 3)","('Q', 0, 3)"
13,44,"('P', 2, 3)","('Q', 3, 4)"
14,29,"('P', 2, 4)","('Q', 0, 4)"
14,38,"('P', 2, 4)","('Q', 2, 3)"
14,40,"('P', 2, 4)","('Q', 3, 0)"
14,31,"('P', 2, 4)","('Q', 1, 1)"
14,47,"('P', 2, 4)","('Q', 4, 2)"
15,16,"('P', 3, 0)","('P', 3, 1)"
15,33,"('P', 3, 0)","('Q', 1, 3)"
15,19,"('P', 3, 0)","('P', 3, 4)"
15,36,"('P', 3, 0)","('Q', 2, 1)"
15,25,"('P', 3, 0)","('Q', 0, 0)"
15,44,"('P', 3, 0)","('Q', 3, 4)"
15,47,"('P', 3, 0)","('Q', 4, 2)"
16,48,"('P', 3, 1)","('Q', 4, 3)"
16,17,"('P', 3, 1)","('P', 3, 2)"
16,34,"('P', 3, 1)","('Q', 1, 4)"
16,37,"('P', 3, 1)","('Q', 2, 2)"
16,40,"('P', 3, 1)","('Q', 3, 0)"
16,26,"('P', 3, 1)","('Q', 0, 1)"
17,49,"('P', 3, 2)","('Q', 4, 4)"
17,18,"('P', 3, 2)","('P', 3, 3)"
17,38,"('P', 3, 2)","('Q', 2, 3)"
17,41,"('P', 3, 2)","('Q', 3, 1)"
17,27,"('P', 3, 2)","('Q', 0, 2)"
17,30,"('P', 3, 2)","('Q', 1, 0)"
18,19,"('P', 3, 3)","('P', 3, 4)"
18,39,"('P', 3, 3)","('Q', 2, 4)"
18,42,"('P', 3, 3)","('Q', 3, 2)"
18,28,"('P', 3, 3)","('Q', 0, 3)"
18,45,"('P', 3, 3)","('Q', 4, 0)"
18,31,"('P', 3, 3)","('Q', 1, 1)"
19,32,"('P', 3, 4)","('Q', 1, 2)"
19,35,"('P', 3, 4)","('Q', 2, 0)"
19,43,"('P', 3, 4)","('Q', 3, 3)"
19,29,"('P', 3, 4)","('Q', 0, 4)"
19,46,"('P', 3, 4)","('Q', 4, 1)"
20,34,"('P', 4, 0)","('Q', 1, 4)"
20,21,"('P', 4, 0)","('P', 4, 1)"
20,38,"('P', 4, 0)","('Q', 2, 3)"
20,24,"('P', 4, 0)","('P', 4, 4)"
20,25,"('P', 4, 0)","('Q', 0, 0)"
20,42,"('P', 4, 0)","('Q', 3, 2)"
20,46,"('P', 4, 0)","('Q', 4, 1)"
21,22,"('P', 4, 1)","('P', 4, 2)"
21,39,"('P', 4, 1)","('Q', 2, 4)"
21,26,"('P', 4, 1)","('Q', 0, 1)"
21,43,"('P', 4, 1)","('Q', 3, 3)"
21,30,"('P', 4, 1)","('Q', 1, 0)"
21,47,"('P', 4, 1)","('Q', 4, 2)"
22,48,"('P', 4, 2)","('Q', 4, 3)"
22,35,"('P', 4, 2)","('Q', 2, 0)"
22,23,"('P', 4, 2)","('P', 4, 3)"
22,27,"('P', 4, 2)","('Q', 0, 2)"
22,44,"('P', 4, 2)","('Q', 3, 4)"
22,31,"('P', 4, 2)","('Q', 1, 1)"
23,32,"('P', 4, 3)","('Q', 1, 2)"
