u,v,u_coordinate,v_coordinate
0,1,"('P', 1, 2)","('P', 1, 3)"
0,34,"('P', 1, 2)","('Q', 4, 1)"
0,21,"('P', 1, 2)","('Q', 1, 3)"
0,27,"('P', 1, 2)","('Q', 2, 4)"
0,28,"('P', 1, 2)","('Q', 3, 0)"
1,2,"('P', 1, 3)","('P', 1, 4)"
1,35,"('P', 1, 3)","('Q', 4, 2)"
1,22,"('P', 1, 3)","('Q', 1, 4)"
1,23,"('P', 1, 3)","('Q', 2, 0)"
1,29,"('P', 1, 3)","('Q', 3, 1)"
2,36,"('P', 1, 4)","('Q', 4, 3)"
2,18,"('P', 1, 4)","('Q', 1, 0)"
2,24,"('P', 1, 4)","('Q', 2, 1)"
2,30,"('P', 1, 4)","('Q', 3, 2)"
3,36,"('P', 2, 0)","('Q', 4, 3)"
3,4,"('P', 2, 0)","('P', 2, 1)"
3,7,"('P', 2, 0)","('P', 2, 4)"
3,20,"('P', 2, 0)","('Q', 1, 2)"
3,27,"('P', 2, 0)","('Q', 2, 4)"
3,29,"('P', 2, 0)","('Q', 3, 1)"
4,5,"('P', 2, 1)","('P', 2, 2)"
4,37,"('P', 2, 1)","('Q', 4, 4)"
4,21,"('P', 2, 1)","('Q', 1, 3)"
4,23,"('P', 2, 1)","('Q', 2, 0)"
4,30,"('P', 2, 1)","('Q', 3, 2)"
5,33,"('P', 2, 2)","('Q', 4, 0)"
5,6,"('P', 2, 2)","('P', 2, 3)"
5,22,"('P', 2, 2)","('Q', 1, 4)"
5,24,"('P', 2, 2)","('Q', 2, 1)"
5,31,"('P', 2, 2)","('Q', 3, 3)"
6,32,"('P', 2, 3)","('Q', 3, 4)"
6,34,"('P', 2, 3)","('Q', 4, 1)"
6,7,"('P', 2, 3)","('P', 2, 4)"
6,18,"('P', 2, 3)","('Q', 1, 0)"
6,25,"('P', 2, 3)","('Q', 2, 2)"
7,35,"('P', 2, 4)","('Q', 4, 2)"
7,19,"('P', 2, 4)","('Q', 1, 1)"
7,26,"('P', 2, 4)","('Q', 2, 3)"
7,28,"('P', 2, 4)","('Q', 3, 0)"
8,32,"('P', 3, 0)","('Q', 3, 4)"
8,35,"('P', 3, 0)","('Q', 4, 2)"
8,9,"('P', 3, 0)","('P', 3, 1)"
8,12,"('P', 3, 0)","('P', 3, 4)"
8,21,"('P', 3, 0)","('Q', 1, 3)"
8,24,"('P', 3, 0)","('Q', 2, 1)"
9,36,"('P', 3, 1)","('Q', 4, 3)"
9,10,"('P', 3, 1)","('P', 3, 2)"
9,22,"('P', 3, 1)","('Q', 1, 4)"
9,25,"('P', 3, 1)","('Q', 2, 2)"
9,28,"('P', 3, 1)","('Q', 3, 0)"
10,37,"('P', 3, 2)","('Q', 4, 4)"
10,11,"('P', 3, 2)","('P', 3, 3)"
10,18,"('P', 3, 2)","('Q', 1, 0)"
10,26,"('P', 3, 2)","('Q', 2, 3)"
10,29,"('P', 3, 2)","('Q', 3, 1)"
11,33,"('P', 3, 3)","('Q', 4, 0)"
11,12,"('P', 3, 3)","('P', 3, 4)"
11,19,"('P', 3, 3)","('Q', 1, 1)"
11,27,"('P', 3, 3)","('Q', 2, 4)"
11,30,"('P', 3, 3)","('Q', 3, 2)"
12,34,"('P', 3, 4)","('Q', 4, 1)"
12,20,"('P', 3, 4)","('Q', 1, 2)"
12,23,"('P', 3, 4)","('Q', 2, 0)"
12,31,"('P', 3, 4)","('Q', 3, 3)"
13,34,"('P', 4, 0)","('Q', 4, 1)"
13,14,"('P', 4, 0)","('P', 4, 1)"
13,17,"('P', 4, 0)","('P', 4, 4)"
13,22,"('P', 4, 0)","('Q', 1, 4)"
13,26,"('P', 4, 0)","('Q', 2, 3)"
13,30,"('P', 4, 0)","('Q', 3, 2)"
14,35,"('P', 4, 1)","('Q', 4, 2)"
14,15,"('P', 4, 1)","('P', 4, 2)"
14,18,"('P', 4, 1)","('Q', 1, 0)"
14,27,"('P', 4, 1)","('Q', 2, 4)"
14,31,"('P', 4, 1)","('Q', 3, 3)"
15,32,"('P', 4, 2)","('Q', 3, 4)"
15,36,"('P', 4, 2)","('Q', 4, 3)"
15,16,"('P', 4, 2)","('P', 4, 3)"
15,19,"('P', 4, 2)","('Q', 1, 1)"
15,23,"('P', 4, 2)","('Q', 2, 0)"
16,37,"('P', 4, 3)","('Q', 4, 4)"
16,17,"('P', 4, 3)","('P', 4, 4)"
16,20,"('P', 4, 3)","('Q', 1, 2)"
16,24,"('P', 4, 3)","('Q', 2, 1)"
16,28,"('P', 4, 3)","('Q', 3, 0)"
17,33,"('P', 4, 4)","('Q', 4, 0)"
17,21,"('P', 4, 4)","('Q', 1, 3)"
17,25,"('P', 4, 4)","('Q', 2, 2)"
17,29,"('P', 4, 4)","('Q', 3, 1)"
18,20,"('Q', 1, 0)","('Q', 1, 2)"
18,21,"('Q', 1, 0)","('Q', 1, 3)"
19,21,"('Q', 1, 1)","('Q', 1, 3)"
19,22,"('Q', 1, 1)","('Q', 1, 4)"
20,22,"('Q', 1, 2)","('Q', 1, 4)"
23,25,"('Q', 2, 0)","('Q', 2, 2)"
23,26,"('Q', 2, 0)","('Q', 2, 3)"
24,26,"('Q', 2, 1)","('Q', 2, 3)"
24,27,"('Q', 2, 1)","('Q', 2, 4)"
25,27,"('Q', 2, 2)","('Q', 2, 4)"
28,30,"('Q', 3, 0)","('Q', 3, 2)"
28,31,"('Q', 3, 0)","('Q', 3, 3)"
29,32,"('Q', 3, 1)","('Q', 3, 4)"
29,31,"('Q', 3, 1)","('Q', 3, 3)"
30,32,"('Q', 3, 2)","('Q', 3, 4)"
33,35,"('Q', 4, 0)","('Q', 4, 2)"
33,36,"('Q', 4, 0)","('Q', 4, 3)"
34,36,"('Q', 4, 1)","('Q', 4, 3)"
34,37,"('Q', 4, 1)","('Q', 4, 4)"
35,37,"('Q', 4, 2)","('Q', 4, 4)"
