u,v,u_coordinate,v_coordinate
9,30,"('P', 2, 4)","('Q', 3, 0)"
10,34,"('P', 3, 0)","('Q', 3, 4)"
10,37,"('P', 3, 0)","('Q', 4, 2)"
10,11,"('P', 3, 0)","('P', 3, 1)"
10,14,"('P', 3, 0)","('P', 3, 4)"
10,23,"('P', 3, 0)","('Q', 1, 3)"
10,26,"('P', 3, 0)","('Q', 2, 1)"
11,38,"('P', 3, 1)","('Q', 4, 3)"
11,12,"('P', 3, 1)","('P', 3, 2)"
11,24,"('P', 3, 1)","('Q', 1, 4)"
11,27,"('P', 3, 1)","('Q', 2, 2)"
11,30,"('P', 3, 1)","('Q', 3, 0)"
12,39,"('P', 3, 2)","('Q', 4, 4)"
12,13,"('P', 3, 2)","('P', 3, 3)"
12,20,"('P', 3, 2)","('Q', 1, 0)"
12,28,"('P', 3, 2)","('Q', 2, 3)"
12,31,"('P', 3, 2)","('Q', 3, 1)"
13,32,"('P', 3, 3)","('Q', 3, 2)"
13,35,"('P', 3, 3)","('Q', 4, 0)"
13,14,"('P', 3, 3)","('P', 3, 4)"
13,21,"('P', 3, 3)","('Q', 1, 1)"
13,29,"('P', 3, 3)","('Q', 2, 4)"
14,33,"('P', 3, 4)","('Q', 3, 3)"
14,36,"('P', 3, 4)","('Q', 4, 1)"
14,22,"('P', 3, 4)","('Q', 1, 2)"
14,25,"('P', 3, 4)","('Q', 2, 0)"
15,32,"('P', 4, 0)","('Q', 3, 2)"
15,36,"('P', 4, 0)","('Q', 4, 1)"
15,16,"('P', 4, 0)","('P', 4, 1)"
15,19,"('P', 4, 0)","('P', 4, 4)"
15,24,"('P', 4, 0)","('Q', 1, 4)"
15,28,"('P', 4, 0)","('Q', 2, 3)"
16,33,"('P', 4, 1)","('Q', 3, 3)"
16,37,"('P', 4, 1)","('Q', 4, 2)"
16,17,"('P', 4, 1)","('P', 4, 2)"
16,20,"('P', 4, 1)","('Q', 1, 0)"
16,29,"('P', 4, 1)","('Q', 2, 4)"
17,34,"('P', 4, 2)","('Q', 3, 4)"
17,38,"('P', 4, 2)","('Q', 4, 3)"
17,18,"('P', 4, 2)","('P', 4, 3)"
17,21,"('P', 4, 2)","('Q', 1, 1)"
17,25,"('P', 4, 2)","('Q', 2, 0)"
18,39,"('P', 4, 3)","('Q', 4, 4)"
18,19,"('P', 4, 3)","('P', 4, 4)"
18,22,"('P', 4, 3)","('Q', 1, 2)"
18,26,"('P', 4, 3)","('Q', 2, 1)"
18,30,"('P', 4, 3)","('Q', 3, 0)"
19,35,"('P', 4, 4)","('Q', 4, 0)"
19,23,"('P', 4, 4)","('Q', 1, 3)"
19,27,"('P', 4, 4)","('Q', 2, 2)"
19,31,"('P', 4, 4)","('Q', 3, 1)"
20,22,"('Q', 1, 0)","('Q', 1, 2)"
20,23,"('Q', 1, 0)","('Q', 1, 3)"
21,23,"('Q', 1, 1)","('Q', 1, 3)"
21,24,"('Q', 1, 1)","('Q', 1, 4)"
22,24,"('Q', 1, 2)","('Q', 1, 4)"
25,27,"('Q', 2, 0)","('Q', 2, 2)"
25,28,"('Q', 2, 0)","('Q', 2, 3)"
26,28,"('Q', 2, 1)","('Q', 2, 3)"
26,29,"('Q', 2, 1)","('Q', 2, 4)"
27,29,"('Q', 2, 2)","('Q', 2, 4)"
30,32,"('Q', 3, 0)","('Q', 3, 2)"
30,33,"('Q', 3, 0)","('Q', 3, 3)"
31,33,"('Q', 3, 1)","('Q', 3, 3)"
31,34,"('Q', 3, 1)","('Q', 3, 4)"
32,34,"('Q', 3, 2)","('Q', 3, 4)"
35,37,"('Q', 4, 0)","('Q', 4, 2)"
35,38,"('Q', 4, 0)","('Q', 4, 3)"
36,38,"('Q', 4, 1)","('Q', 4, 3)"
36,39,"('Q', 4, 1)","('Q', 4, 4)"
37,39,"('Q', 4, 2)","('Q', 4, 4)"
