u,v,u_coordinate,v_coordinate
0,1,"('P', 1, 0)","('P', 1, 1)"
0,33,"('P', 1, 0)","('Q', 3, 3)"
0,4,"('P', 1, 0)","('P', 1, 4)"
0,39,"('P', 1, 0)","('Q', 4, 4)"
0,21,"('P', 1, 0)","('Q', 1, 1)"
0,27,"('P', 1, 0)","('Q', 2, 2)"
1,2,"('P', 1, 1)","('P', 1, 2)"
1,34,"('P', 1, 1)","('Q', 3, 4)"
1,35,"('P', 1, 1)","('Q', 4, 0)"
1,22,"('P', 1, 1)","('Q', 1, 2)"
1,28,"('P', 1, 1)","('Q', 2, 3)"
2,3,"('P', 1, 2)","('P', 1, 3)"
2,36,"('P', 1, 2)","('Q', 4, 1)"
2,23,"('P', 1, 2)","('Q', 1, 3)"
2,29,"('P', 1, 2)","('Q', 2, 4)"
2,30,"('P', 1, 2)","('Q', 3, 0)"
3,4,"('P', 1, 3)","('P', 1, 4)"
3,37,"('P', 1, 3)","('Q', 4, 2)"
3,24,"('P', 1, 3)","('Q', 1, 4)"
3,25,"('P', 1, 3)","('Q', 2, 0)"
3,31,"('P', 1, 3)","('Q', 3, 1)"
4,32,"('P', 1, 4)","('Q', 3, 2)"
4,38,"('P', 1, 4)","('Q', 4, 3)"
4,20,"('P', 1, 4)","('Q', 1, 0)"
4,26,"('P', 1, 4)","('Q', 2, 1)"
5,38,"('P', 2, 0)","('Q', 4, 3)"
5,6,"('P', 2, 0)","('P', 2, 1)"
5,9,"('P', 2, 0)","('P', 2, 4)"
5,22,"('P', 2, 0)","('Q', 1, 2)"
5,29,"('P', 2, 0)","('Q', 2, 4)"
5,31,"('P', 2, 0)","('Q', 3, 1)"
6,32,"('P', 2, 1)","('Q', 3, 2)"
6,39,"('P', 2, 1)","('Q', 4, 4)"
6,7,"('P', 2, 1)","('P', 2, 2)"
6,23,"('P', 2, 1)","('Q', 1, 3)"
6,25,"('P', 2, 1)","('Q', 2, 0)"
7,33,"('P', 2, 2)","('Q', 3, 3)"
7,35,"('P', 2, 2)","('Q', 4, 0)"
7,8,"('P', 2, 2)","('P', 2, 3)"
7,24,"('P', 2, 2)","('Q', 1, 4)"
7,26,"('P', 2, 2)","('Q', 2, 1)"
8,34,"('P', 2, 3)","('Q', 3, 4)"
8,36,"('P', 2, 3)","('Q', 4, 1)"
8,9,"('P', 2, 3)","('P', 2, 4)"
8,20,"('P', 2, 3)","('Q', 1, 0)"
8,27,"('P', 2, 3)","('Q', 2, 2)"
9,37,"('P', 2, 4)","('Q', 4, 2)"
9,21,"('P', 2, 4)","('Q', 1, 1)"
9,28,"('P', 2, 4)","('Q', 2, 3)"
