u,v,u_coordinate,v_coordinate
0,1,"('P', 1, 1)","('P', 1, 2)"
0,34,"('P', 1, 1)","('Q', 4, 0)"
0,33,"('P', 1, 1)","('Q', 3, 4)"
0,21,"('P', 1, 1)","('Q', 1, 2)"
0,27,"('P', 1, 1)","('Q', 2, 3)"
1,2,"('P', 1, 2)","('P', 1, 3)"
1,35,"('P', 1, 2)","('Q', 4, 1)"
1,22,"('P', 1, 2)","('Q', 1, 3)"
1,28,"('P', 1, 2)","('Q', 2, 4)"
1,29,"('P', 1, 2)","('Q', 3, 0)"
2,3,"('P', 1, 3)","('P', 1, 4)"
2,36,"('P', 1, 3)","('Q', 4, 2)"
2,23,"('P', 1, 3)","('Q', 1, 4)"
2,24,"('P', 1, 3)","('Q', 2, 0)"
2,30,"('P', 1, 3)","('Q', 3, 1)"
3,37,"('P', 1, 4)","('Q', 4, 3)"
3,19,"('P', 1, 4)","('Q', 1, 0)"
3,25,"('P', 1, 4)","('Q', 2, 1)"
3,31,"('P', 1, 4)","('Q', 3, 2)"
4,5,"('P', 2, 0)","('P', 2, 1)"
4,37,"('P', 2, 0)","('Q', 4, 3)"
4,8,"('P', 2, 0)","('P', 2, 4)"
4,21,"('P', 2, 0)","('Q', 1, 2)"
4,28,"('P', 2, 0)","('Q', 2, 4)"
4,30,"('P', 2, 0)","('Q', 3, 1)"
5,6,"('P', 2, 1)","('P', 2, 2)"
5,38,"('P', 2, 1)","('Q', 4, 4)"
5,22,"('P', 2, 1)","('Q', 1, 3)"
5,24,"('P', 2, 1)","('Q', 2, 0)"
5,31,"('P', 2, 1)","('Q', 3, 2)"
6,32,"('P', 2, 2)","('Q', 3, 3)"
6,34,"('P', 2, 2)","('Q', 4, 0)"
6,7,"('P', 2, 2)","('P', 2, 3)"
6,23,"('P', 2, 2)","('Q', 1, 4)"
6,25,"('P', 2, 2)","('Q', 2, 1)"
7,33,"('P', 2, 3)","('Q', 3, 4)"
7,35,"('P', 2, 3)","('Q', 4, 1)"
7,8,"('P', 2, 3)","('P', 2, 4)"
7,19,"('P', 2, 3)","('Q', 1, 0)"
7,26,"('P', 2, 3)","('Q', 2, 2)"
8,36,"('P', 2, 4)","('Q', 4, 2)"
8,20,"('P', 2, 4)","('Q', 1, 1)"
8,27,"('P', 2, 4)","('Q', 2, 3)"
8,29,"('P', 2, 4)","('Q', 3, 0)"
9,33,"('P', 3, 0)","('Q', 3, 4)"
9,36,"('P', 3, 0)","('Q', 4, 2)"
9,10,"('P', 3, 0)","('P', 3, 1)"
9,13,"('P', 3, 0)","('P', 3, 4)"
9,22,"('P', 3, 0)","('Q', 1, 3)"
9,25,"('P', 3, 0)","('Q', 2, 1)"
10,37,"('P', 3, 1)","('Q', 4, 3)"
10,11,"('P', 3, 1)","('P', 3, 2)"
10,23,"('P', 3, 1)","('Q', 1, 4)"
10,26,"('P', 3, 1)","('Q', 2, 2)"
10,29,"('P', 3, 1)","('Q', 3, 0)"
11,38,"('P', 3, 2)","('Q', 4, 4)"
11,12,"('P', 3, 2)","('P', 3, 3)"
11,19,"('P', 3, 2)","('Q', 1, 0)"
11,27,"('P', 3, 2)","('Q', 2, 3)"
11,30,"('P', 3, 2)","('Q', 3, 1)"
12,34,"('P', 3, 3)","('Q', 4, 0)"
12,13,"('P', 3, 3)","('P', 3, 4)"
12,20,"('P', 3, 3)","('Q', 1, 1)"
12,28,"('P', 3, 3)","('Q', 2, 4)"
12,31,"('P', 3, 3)","('Q', 3, 2)"
13,32,"('P', 3, 4)","('Q', 3, 3)"
13,35,"('P', 3, 4)","('Q', 4, 1)"
13,21,"('P', 3, 4)","('Q', 1, 2)"
13,24,"('P', 3, 4)","('Q', 2, 0)"
14,35,"('P', 4, 0)","('Q', 4, 1)"
14,15,"('P', 4, 0)","('P', 4, 1)"
14,18,"('P', 4, 0)","('P', 4, 4)"
14,23,"('P', 4, 0)","('Q', 1, 4)"
14,27,"('P', 4, 0)","('Q', 2, 3)"
14,31,"('P', 4, 0)","('Q', 3, 2)"
15,32,"('P', 4, 1)","('Q', 3, 3)"
15,36,"('P', 4, 1)","('Q', 4, 2)"
15,16,"('P', 4, 1)","('P', 4, 2)"
15,19,"('P', 4, 1)","('Q', 1, 0)"
15,28,"('P', 4, 1)","('Q', 2, 4)"
16,33,"('P', 4, 2)","('Q', 3, 4)"
16,37,"('P', 4, 2)","('Q', 4, 3)"
16,17,"('P', 4, 2)","('P', 4, 3)"
16,20,"('P', 4, 2)","('Q', 1, 1)"
16,24,"('P', 4, 2)","('Q', 2, 0)"
17,38,"('P', 4, 3)","('Q', 4, 4)"
17,18,"('P', 4, 3)","('P', 4, 4)"
17,21,"('P', 4, 3)","('Q', 1, 2)"
17,25,"('P', 4, 3)","('Q', 2, 1)"
17,29,"('P', 4, 3)","('Q', 3, 0)"
18,34,"('P', 4, 4)","('Q', 4, 0)"
18,22,"('P', 4, 4)","('Q', 1, 3)"
18,26,"('P', 4, 4)","('Q', 2, 2)"
18,30,"('P', 4, 4)","('Q', 3, 1)"
19,21,"('Q', 1, 0)","('Q', 1, 2)"
19,22,"('Q', 1, 0)","('Q', 1, 3)"
20,22,"('Q', 1, 1)","('Q', 1, 3)"
20,23,"('Q', 1, 1)","('Q', 1, 4)"
21,23,"('Q', 1, 2)","('Q', 1, 4)"
24,26,"('Q', 2, 0)","('Q', 2, 2)"
24,27,"('Q', 2, 0)","('Q', 2, 3)"
25,27,"('Q', 2, 1)","('Q', 2, 3)"
25,28,"('Q', 2, 1)","('Q', 2, 4)"
26,28,"('Q', 2, 2)","('Q', 2, 4)"
29,32,"('Q', 3, 0)","('Q', 3, 3)"
29,31,"('Q', 3, 0)","('Q', 3, 2)"
30,32,"('Q', 3, 1)","('Q', 3, 3)"
30,33,"('Q', 3, 1)","('Q', 3, 4)"
31,33,"('Q', 3, 2)","('Q', 3, 4)"
34,36,"('Q', 4, 0)","('Q', 4, 2)"
34,37,"('Q', 4, 0)","('Q', 4, 3)"
35,37,"('Q', 4, 1)","('Q', 4, 3)"
35,38,"('Q', 4, 1)","('Q', 4, 4)"
36,38,"('Q', 4, 2)","('Q', 4, 4)"
